temperature,humidity,time
69.80,42.00,2017-06-25 00:55:01
69.80,42.00,2017-06-25 00:55:01
69.80,42.00,2017-06-25 00:55:01
68.00,43.00,2017-06-25 00:55:01
69.80,42.00,2017-06-25 00:55:01
69.80,42.00,2017-06-25 00:55:01
69.80,43.00,2017-06-25 00:55:01
69.80,43.00,2017-06-25 00:55:01
69.80,42.00,2017-06-25 00:55:01
69.80,43.00,2017-06-25 00:55:02
69.80,42.00,2017-06-25 00:55:09
69.80,43.00,2017-06-25 00:55:11
69.80,42.00,2017-06-25 00:55:13
69.80,42.00,2017-06-25 00:55:15
69.80,42.00,2017-06-25 00:55:17
69.80,42.00,2017-06-25 00:55:24
69.80,43.00,2017-06-25 00:55:26
69.80,42.00,2017-06-25 00:55:29
69.80,42.00,2017-06-25 00:55:31
69.80,42.00,2017-06-25 00:55:33
69.80,42.00,2017-06-25 00:55:40
69.80,42.00,2017-06-25 00:55:42
69.80,42.00,2017-06-25 00:55:44
69.80,42.00,2017-06-25 00:55:46
69.80,42.00,2017-06-25 00:55:48
69.80,43.00,2017-06-25 00:56:00
69.80,43.00,2017-06-25 01:02:02
69.80,43.00,2017-06-25 01:02:04
69.80,43.00,2017-06-25 01:02:06
69.80,43.00,2017-06-25 01:02:08
69.80,42.00,2017-06-25 01:02:10
69.80,42.00,2017-06-25 01:02:17
69.80,44.00,2017-06-25 01:02:19
69.80,43.00,2017-06-25 01:02:21
69.80,43.00,2017-06-25 01:02:23
69.80,43.00,2017-06-25 01:02:25
69.80,43.00,2017-06-25 01:02:33
69.80,43.00,2017-06-25 01:02:35
68.00,44.00,2017-06-25 01:02:37
69.80,43.00,2017-06-25 01:02:39
69.80,43.00,2017-06-25 01:02:41
69.80,43.00,2017-06-25 01:02:48
69.80,44.00,2017-06-25 01:02:50
69.80,43.00,2017-06-25 01:02:52
69.80,43.00,2017-06-25 01:02:54
69.80,42.00,2017-06-25 01:02:56
69.80,42.00,2017-06-25 01:03:03
69.80,43.00,2017-06-25 01:05:00
69.80,43.00,2017-06-25 01:06:00
68.00,44.00,2017-06-25 01:06:00
69.80,43.00,2017-06-25 01:07:00
69.80,43.00,2017-06-25 01:07:00
69.0itne3,44.00,2017-06-25 01:08:00
68.00,44.00,2017-06-25 01:08:00
69.80,44.00,2017-06-25 01:09:00
69.80,42.00,2017-06-25 01:09:00
69.80,42.00,2017-06-25 01:10:00
69.80,43.00,2017-06-25 01:10:00
69.80,43.00,2017-06-25 01:11:00
69.80,43.00,2017-06-25 01:11:00
68.00,44.00,2017-06-25 01:12:00
68.00,44.00,2017-06-25 01:12:00
69.80,43.00,2017-06-25 01:13:00
69.80,43.00,2017-06-25 01:13:00
69.80,44.00,2017-06-25 01:14:00
69.80,44.00,2017-06-25 01:14:00
69.80,44.00,2017-06-25 01:16:00
69.80,44.00,2017-06-25 01:17:00
69.80,44.00,2017-06-25 01:19:00
69.80,44.00,2017-06-25 01:20:00
68.00,45.00,2017-06-25 01:21:00
69.80,44.00,2017-06-25 01:22:00
69.80,44.00,2017-06-25 01:23:00
69.80,45.00,2017-06-25 01:24:00
68.00,45.00,2017-06-25 01:25:00
69.80,44.00,2017-06-25 01:26:00
68.00,45.00,2017-06-25 01:27:00
69.80,43.00,2017-06-25 02:33:00
69.80,43.00,2017-06-25 02:33:00
69.80,43.00,2017-06-25 02:34:00
69.80,43.00,2017-06-25 02:34:00
69.80,43.00,2017-06-25 02:35:00
69.80,43.00,2017-06-25 02:35:00
71.60,43.00,2017-06-25 02:36:00
69.80,43.00,2017-06-25 02:36:00
69.80,43.00,2017-06-25 02:37:00
69.80,43.00,2017-06-25 02:37:00
69.80,43.00,2017-06-25 02:38:00
69.80,42.00,2017-06-25 02:38:00
69.80,43.00,2017-06-25 02:39:00
69.80,43.00,2017-06-25 02:39:00
69.80,43.00,2017-06-25 02:40:00
69.80,43.00,2017-06-25 02:40:00
69.80,43.00,2017-06-25 02:41:00
69.80,43.00,2017-06-25 02:42:00
69.80,43.00,2017-06-25 02:42:00
69.80,43.00,2017-06-25 02:43:00
69.80,43.00,2017-06-25 02:44:00
69.80,42.00,2017-06-25 02:45:00
69.80,43.00,2017-06-25 02:45:00
71.60,43.00,2017-06-25 02:46:00
69.80,43.00,2017-06-25 02:46:00
69.80,43.00,2017-06-25 02:47:00
69.80,42.00,2017-06-25 02:47:00
71.60,42.00,2017-06-25 02:48:00
69.80,43.00,2017-06-25 02:49:00
69.80,42.00,2017-06-25 02:49:00
